tmdb_id,imdb_id,title,original_title,original_language,release_date,year,runtime_min,genres,popularity,vote_average,vote_count,budget_usd,revenue_usd,overview,tagline,director,top_cast,production_companies,production_countries,us_rating,keywords,poster_path,tmdb_url
1175942,tt30017619,The Bad Guys 2,The Bad Guys 2,en,2025-07-24,2025,104,"Family, Comedy, Crime, Adventure, Animation",26.1808,7.666,729,80000000,239449449,"The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.",Back in badness.,Pierre Perifel,"Sam Rockwell, Marc Maron, Awkwafina, Craig Robinson, Anthony Ramos",DreamWorks Animation,United States of America,PG,"california, based on novel or book, snake, police, wolf, fight, spider, villain, sequel, heist",https://image.tmdb.org/t/p/w500/26oSPnq0ct59l07QOXZKyzsiRtN.jpg,https://www.themoviedb.org/movie/1175942
1658216,tt40541157,Stepdaddy,Stepdaddy,tl,2026-04-04,2026,70,Drama,25.9971,0.0,0,0,0,Emotions and intrigue run high in this titillating taboo family affair. Chloe and Nica are sisters who both find themselves in their own passionate love affairs with their stepdad Carl.,,Christopher Novabos,"Astrid Lee, Christy Imperial, Jamilla Obispo, Marlon Marcia",Vivamax,Philippines,,sexy,https://image.tmdb.org/t/p/w500/oZxNblisKuDzSUW5g18FERjyJs9.jpg,https://www.themoviedb.org/movie/1658216
1266992,tt32227204,Balinsasayaw,Balinsasayaw,tl,2024-05-17,2024,98,Drama,25.6644,5.3,3,0,0,"A rich woman marries a charming womanizer who conspires with his wife’s best friend. When all the revelations are exposed, the tables suddenly turn.",,Rodante Pajemna Jr.,"Apple Dy, Aiko Garcia, Benz Sangalang, Jonica Lazo, Aria Bench",Vivamax,Philippines,,"threesome, lgbt, lesbian, girls' love (gl), sexy",https://image.tmdb.org/t/p/w500/5gotyf6pPf9ZbDSW0yBLXMpDmmP.jpg,https://www.themoviedb.org/movie/1266992
372058,tt5311514,Your Name.,君の名は。,ja,2016-08-26,2016,106,"Animation, Romance, Drama",25.6249,8.477,12409,7500000,405320132,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.","Separated by distance, connected by fate.",Makoto Shinkai,"Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita, Aoi Yuuki, Nobunaga Shimazaki","CoMix Wave Films, TOHO, KADOKAWA, jeki, AMUSE, voque ting, Lawson Entertainment",Japan,PG,"high school, race against time, dreams, afterlife, natural disaster, supernatural, time travel, comet, romance, tragedy",https://image.tmdb.org/t/p/w500/q719jXXEzOoYaps6babgKnONONX.jpg,https://www.themoviedb.org/movie/372058
1424965,tt34959976,Ice Skater,Ice Skater,en,2026-02-24,2026,83,"Drama, Thriller",25.5078,4.967,15,0,0,"A survival drama about an ice skater stranded on an ice floe at the Arctic Sea. When the ice floe starts to float towards south and melt, the ice skater must use all means necessary to survive.",,Taavi Vartia,"Thea Sofie Loch Næss, Nikos Koukas, Mimi Roivainen, Jasmin Simonen","A Xanaheim Original, Inkas Film & T.V. Productions, Whatevergroup","Finland, Greece",,"lost at sea, ice skater, arctic survival",https://image.tmdb.org/t/p/w500/m93BKabB7Je8WQACed58BXeHNNR.jpg,https://www.themoviedb.org/movie/1424965
269149,tt2948356,Zootopia,Zootopia,en,2016-02-11,2016,109,"Animation, Adventure, Family, Comedy",25.4366,7.759,17922,150000000,1025521689,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",Welcome to the urban jungle.,"Byron Howard, Rich Moore","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence",Walt Disney Animation Studios,United States of America,PG,"sheep, allegory, lion, hippopotamus, cartoon, villain, bullying, polar bear, con artist, anthropomorphism",https://image.tmdb.org/t/p/w500/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg,https://www.themoviedb.org/movie/269149
106646,tt0993846,The Wolf of Wall Street,The Wolf of Wall Street,en,2013-12-25,2013,180,"Crime, Drama, Comedy",25.3902,8.028,25708,100000000,407038432,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",Earn. Spend. Party.,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler","Red Granite Pictures, Appian Way, Sikelia Productions, EMJAG Productions",United States of America,R,"corruption, based on novel or book, drug addiction, anti hero, con man, fraud, wall street, biography, based on true story, rise and fall",https://image.tmdb.org/t/p/w500/kW9LmvYHAaS9iA0tHmZVq8hQYoq.jpg,https://www.themoviedb.org/movie/106646
346698,tt1517268,Barbie,Barbie,en,2023-07-19,2023,114,"Comedy, Adventure",24.9705,6.928,10943,145000000,1447138421,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",She's everything. He's just Ken.,Greta Gerwig,"Margot Robbie, Ryan Gosling, America Ferrera, Ariana Greenblatt, Issa Rae","LuckyChap Entertainment, Heyday Films, NB/GG Pictures, Mattel, Warner Bros. Pictures","United Kingdom, United States of America",PG-13,"feminism, satire, patriarchy, social satire, based on toy, female protagonist, fish out of water, womanhood, doll, reality vs fantasy",https://image.tmdb.org/t/p/w500/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,https://www.themoviedb.org/movie/346698
980477,tt34956443,Ne Zha 2,哪吒之魔童闹海,zh,2025-01-29,2025,144,"Animation, Fantasy, Adventure",24.84,8.121,642,80000000,2259822417,"After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.",Witness a hero reborn.,Jiao Zi,"Lu Yanting, Joseph, Han Mo, Chen Hao, Lu Qi","Chengdu Coco Cartoon, Beijing Enlight Pictures, Beijing Enlight Media, Chengdu Zizai Jingjie Culture Media, Beijing Coloroom Technology",China,NR,"fight, magic, dark fantasy, based on myths, legends or folklore, 3d animation, nezha, chinese mythology, donghua",https://image.tmdb.org/t/p/w500/cb5NyNrqiCNNoDkA8FfxHAtypdG.jpg,https://www.themoviedb.org/movie/980477
1015606,tt21860836,Obi-Wan Kenobi: A Jedi's Return,Obi-Wan Kenobi: A Jedi's Return,en,2022-09-07,2022,60,Documentary,24.8194,6.789,1009,0,0,"This special explores the return of Obi-Wan Kenobi and Anakin Skywalker to the screen, as well as Ewan McGregor and Hayden Christensen to their classic roles. Director Deborah Chow leads the cast and crew as they create new heroes and villains that live alongside new incarnations of beloved Star Wars characters, and an epic story that dramatically bridges the saga films.",,David Gelb,"Ewan McGregor, Hayden Christensen, Deborah Chow, Moses Ingram, Vivien Lyra Blair","Lucasfilm Ltd., Supper Club",United States of America,PG-13,"behind the scenes, filmmaking, making of",https://image.tmdb.org/t/p/w500/vQGgvXjoMZf8x1m3BHsMxVXPyck.jpg,https://www.themoviedb.org/movie/1015606
1248226,tt31425731,Playdate,Playdate,en,2025-11-04,2025,93,"Action, Comedy, Family",24.7638,6.0,565,0,0,"When out-of-work accountant Brian joins stay-at-home dad Jeff for a playdate with their sons, he expects a laid-back afternoon. Instead, they're chased by mercenaries, and Brian—totally unprepared—must survive one absurd obstacle after another.",Playtime just got real.,Luke Greenfield,"Alan Ritchson, Kevin James, Banks Pierce, Benjamin Pajak, Alan Tudyk","Amazon MGM Studios, Nickel City Pictures, A Higher Standard, Wide Awake Pictures, Arcana Studio","United States of America, Canada",PG-13,"stay-at-home dad, accountant, human cloning, father son relationship, action comedy, clinical, cliché, disapproving",https://image.tmdb.org/t/p/w500/fGodXWqJkkkbSebPIlxLSygV8GY.jpg,https://www.themoviedb.org/movie/1248226
1403327,tt28185500,Coartadas,Coartadas,es,2025-11-28,2025,0,"Comedy, Romance",24.6135,5.5,17,0,0,Follows the founder of a company who offers alibis to customers who are dishonest or disloyal.,TÚ MIENTE. NOSOTROS TE CUBRIMOS.,Hugo Martín Cuervo,"Jaime Lorente, Adriana Torrebejano, Leo Harlem, Llum Barrera, Antón Lofer","Atresmedia, Buendía Estudios, Secuoya Studios, Beta Fiction Spain, Álamo Producciones Audiovisuales, Movistar Plus+",Spain,,"romcom, remake",https://image.tmdb.org/t/p/w500/7Cpg0NQc2gZZfiBPRXfSwtXNKuq.jpg,https://www.themoviedb.org/movie/1403327
1184918,tt29623480,The Wild Robot,The Wild Robot,en,2024-09-12,2024,102,"Family, Animation, Science Fiction, Adventure",24.5923,8.307,5871,78000000,331982078,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",Discover your true nature.,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor, Bill Nighy, Stephanie Hsu",DreamWorks Animation,United States of America,PG,"villain, robot, based on children's book, female villain, aftercreditsstinger, duringcreditsstinger, kids, adopted son, understated, audacious",https://image.tmdb.org/t/p/w500/eG9lz41mJqsI4J6ubMtVqD26q2J.jpg,https://www.themoviedb.org/movie/1184918
1341137,tt33305882,A Great Awakening,A Great Awakening,en,2026-04-03,2026,129,"Drama, History",24.4137,0.0,0,0,0,"A GREAT AWAKENING tells the true story of an unlikely friendship between the Reverend George Whitefield and Benjamin Franklin that resulted in one of the most defining moments in American history. With the colonies on the brink of collapse, the Reverend George Whitefield ignites the first Great Awakening, uniting an entire generation with his thundering and faithful sermons and proclamations of liberty. In a miraculous turn of events, one of Whitefield’s closest friends and greatest promoters becomes none other than Benjamin Franklin. With the nation’s freedom hanging in the balance, the founders discover true liberty cannot only be written into law - it must be awakened in the hearts of the people.","Before the American Revolution, there was a revelation.",Joshua Enck,"John Paul Sneed, Jonathan Blair, JT Schaeffer, Josh Bates, Joe Dignoti","Sight & Sound Films, Roadside Attractions",United States of America,PG-13,,https://image.tmdb.org/t/p/w500/rd7BsFaHO7JaYlz3WHUvqHjgm60.jpg,https://www.themoviedb.org/movie/1341137
1611398,tt37538207,Un hombre por semana,Un hombre por semana,es,2026-01-08,2026,97,"Comedy, Romance, Drama",24.4018,7.314,35,0,0,A divorced woman reconstructs her life and opens herself to love. Her search for dating apps takes her through fun and unpredictable moments to discover self-love.,,"Marco Polo Constandse, Ana de la Reguera","Ana de la Reguera, Roberto Quijano, Carlos 'Capi' Pérez, Fernando Álvarez Rebeil, Patricia Garza","Filmadora, Videocine, ViX",Mexico,,"amused, mexican comedy",https://image.tmdb.org/t/p/w500/rHwOvosfDFRsjBihdh9dIHnMgbO.jpg,https://www.themoviedb.org/movie/1611398
912649,tt16366836,Venom: The Last Dance,Venom: The Last Dance,en,2024-10-22,2024,109,"Science Fiction, Action, Adventure",24.2617,6.663,4096,120000000,478937618,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",'Til death do they part.,Kelly Marcel,"Tom Hardy, Chiwetel Ejiofor, Juno Temple, Rhys Ifans, Stephen Graham","Columbia Pictures, Pascal Pictures, Matt Tolmach Productions, Hutch Parker Entertainment, Arad Productions",United States of America,PG-13,"hero, superhero, anti hero, villain, alien life-form, based on comic, sequel, aftercreditsstinger, woman director",https://image.tmdb.org/t/p/w500/vGXptEdgZIhPg3cGlc7e8sNPC2e.jpg,https://www.themoviedb.org/movie/912649
12445,tt1201607,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,en,2011-07-12,2011,130,"Adventure, Fantasy",24.2131,8.08,21823,125000000,1341511219,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",It all ends.,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Ralph Fiennes, Alan Rickman","Warner Bros. Pictures, Heyday Films","United Kingdom, United States of America",PG-13,"witch, dying and death, saving the world, self sacrifice, magic, school of witchcraft, sorcerer, school, battle, ghost",https://image.tmdb.org/t/p/w500/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,https://www.themoviedb.org/movie/12445
1561758,tt38681815,It Takes a Village,Podlasie,pl,2026-04-01,2026,94,"Romance, Comedy",23.9561,5.0,5,0,0,"When financial trouble forces Halina to call off her wedding, her friends and family decide to hatch a wild plan to bring in tourist money.",,Łukasz Kośmicki,"Anna Seniuk, Artur Barciś, Filip Gurłacz, Joanna Trzepiecińska, Anna Szymańczyk",ZPR Media Film & TV,Poland,PG-13,romantic,https://image.tmdb.org/t/p/w500/znUVVJh0WSCHAhiJ6Att5qhmAzG.jpg,https://www.themoviedb.org/movie/1561758
337404,tt3228774,Cruella,Cruella,en,2021-05-26,2021,134,"Comedy, Crime, Adventure",23.8356,7.973,9979,200000000,233503234,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",Hello cruel world.,Craig Gillespie,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, John McCrea","Walt Disney Pictures, Gunn Films, Marc Platt Productions",United States of America,PG-13,"1970s, anti hero, villain, punk rock, fashion designer, fashion, origin story, live action remake",https://image.tmdb.org/t/p/w500/hjS9mH8KvRiGHgjk6VUZH7OT0Ng.jpg,https://www.themoviedb.org/movie/337404
1197306,tt9150192,A Working Man,A Working Man,en,2025-03-26,2025,116,"Action, Crime, Thriller",23.7644,6.686,1843,40000000,88200711,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",Human traffickers beware.,David Ayer,"Jason Statham, Jason Flemyng, Merab Ninidze, Maximilian Osinski, Cokey Falkow","Cedar Park Entertainment, BlockFilm, Punch Palace Productions, Balboa Productions, Black Bear Pictures, Fifth Season, CAT5","United Kingdom, United States of America",R,"based on novel or book, kidnapping, vigilante, missing person, black ops, construction worker, criminal conspiracy",https://image.tmdb.org/t/p/w500/6FRFIogh3zFnVWn7Z6zcYnIbRcX.jpg,https://www.themoviedb.org/movie/1197306
969681,tt22084616,Spider-Man: Brand New Day,Spider-Man: Brand New Day,en,2026-07-29,2026,0,"Science Fiction, Action, Adventure",23.6387,0.0,0,0,0,"Four years have passed since the events of No Way Home, and Peter is now an adult living entirely alone, having voluntarily erased himself from the lives and memories of those he loves. Crime-fighting in a New York that no longer knows his name, he's devoted himself entirely to protecting his city — a full-time Spider-Man — but as the demands on him intensify, the pressure sparks a surprising physical evolution that threatens his existence, even as a strange new pattern of crimes gives rise to one of the most powerful threats he has ever faced.",A brand new day starts now.,Destin Daniel Cretton,"Tom Holland, Zendaya, Sadie Sink, Jacob Batalon, Jon Bernthal","Marvel Studios, Columbia Pictures, Pascal Pictures",United States of America,,"superhero, based on comic, super power, marvel cinematic universe (mcu), masked superhero",https://image.tmdb.org/t/p/w500/ucQ0QBXXQPSxeUmWfh4YQenIuB9.jpg,https://www.themoviedb.org/movie/969681
1315303,tt33028778,Primate,Primate,en,2026-01-01,2026,89,"Horror, Thriller",23.5513,6.497,543,21000000,41562111,"Lucy, a college student, along with her friends, spend their vacation at her family's home in Hawaii, which includes her pet chimpanzee, Ben. However, when Ben contracts rabies after being bitten by a rabid animal, the group must fight for their lives in order to avoid the now-violent chimp.",Something's wrong with Ben.,Johannes Roberts,"Johnny Sequoyah, Jessica Alexander, Troy Kotsur, Victoria Wyant, Gia Hunter","18Hz Productions, Paramount Pictures, Domain Entertainment",United States of America,R,"hawaii, pet, animal attack, gore, survival, monkey, survival horror, chimpanzee, rabies, primate",https://image.tmdb.org/t/p/w500/z97hrgI5wbGbZvSVkBfAeBnFKAg.jpg,https://www.themoviedb.org/movie/1315303
858024,tt14905854,Hamnet,Hamnet,en,2025-11-26,2025,126,"Drama, Romance, History",23.4689,7.727,1195,35000000,100600000,"The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet.",Keep your heart open.,Chloé Zhao,"Jessie Buckley, Paul Mescal, Emily Watson, Joe Alwyn, Jacobi Jupe","Hera Pictures, Neal Street Productions, Amblin Entertainment, Book of Shadows","United Kingdom, United States of America",PG-13,"based on novel or book, grief, historical fiction, death in family, motherhood, woman director, 16th century, period film, wistful, depressing",https://image.tmdb.org/t/p/w500/vbeyOZm2bvBXcbgPD3v6o94epPX.jpg,https://www.themoviedb.org/movie/858024
1276704,tt32155665,53 Sundays,53 domingos,es,2026-03-26,2026,78,"Comedy, Drama",23.3021,6.026,39,0,0,"When three siblings agree to meet and discuss their aging father's future, their reunion spirals into bickering, bantering and reliving old grudges.",,Cesc Gay,"Javier Cámara, Carmen Machi, Javier Gutiérrez, Alexandra Jiménez, Ricardo Lacámara",Imposible Films,Spain,R,based on play or musical,https://image.tmdb.org/t/p/w500/olk6MkfHFWEpWmhQn6Mb4jNqspm.jpg,https://www.themoviedb.org/movie/1276704
541671,tt7181546,Ballerina,Ballerina,en,2025-06-04,2025,125,"Action, Thriller, Crime",23.2946,7.241,2469,90000000,137408107,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",Vengeance has a new face.,Len Wiseman,"Ana de Armas, Keanu Reeves, Ian McShane, Anjelica Huston, Gabriel Byrne","Thunder Road, 87Eleven, Lionsgate",United States of America,R,"assassin, tattoo, grenade, austria, training, female protagonist, female assassin, spin off, flamethrower, burning",https://image.tmdb.org/t/p/w500/2VUmvqsHb6cEtdfscEA6fqqVzLg.jpg,https://www.themoviedb.org/movie/541671
324786,tt2119532,Hacksaw Ridge,Hacksaw Ridge,en,2016-10-07,2016,139,"Drama, History, War",23.2601,8.19,14718,40000000,175302354,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",One of the greatest heroes in American history never fired a bullet.,Mel Gibson,"Andrew Garfield, Sam Worthington, Vince Vaughn, Teresa Palmer, Luke Bracey","Summit Entertainment, Pandemonium, Cross Creek Pictures, Permut Presentations, Vendian Entertainment, Argent Pictures, IM Global, AI Film, Bliss Media, Kylin Pictures, Cosmos Filmed Entertainment, Icon Productions, Lionsgate","Australia, United Kingdom, United States of America",R,"japan, hero, world war ii, abusive father, pacifism, bible, gore, vegetarian, biography, based on true story",https://image.tmdb.org/t/p/w500/fnOMP6mjmOmZwmlC1n0K7ivrzt1.jpg,https://www.themoviedb.org/movie/324786
1007734,tt28996126,Nobody 2,Nobody 2,en,2025-08-13,2025,89,"Action, Thriller",23.1438,6.939,1412,25000000,41618135,"Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss.",Nobody ruins his vacation.,Timo Tjahjanto,"Bob Odenkirk, Connie Nielsen, John Ortiz, Colin Hanks, RZA","Universal Pictures, 87North Productions, OPE Partners, Eighty Two Films",United States of America,R,"assassin, dark comedy, sequel, revenge, one man army, family vacation, russian mafia",https://image.tmdb.org/t/p/w500/svXVRoRSu6zzFtCzkRsjZS7Lqpd.jpg,https://www.themoviedb.org/movie/1007734
324857,tt4633694,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,en,2018-12-06,2018,117,"Animation, Action, Adventure, Science Fiction",22.9592,8.4,17033,90000000,394884133,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",More than one wears the mask.,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry","Columbia Pictures, Lord Miller, Pascal Pictures, Sony Pictures Animation, Arad Productions, Marvel Entertainment",United States of America,PG,"superhero, based on comic, aftercreditsstinger, alternate universe",https://image.tmdb.org/t/p/w500/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,https://www.themoviedb.org/movie/324857
1641319,tt39538786,Sniper: No Nation,Sniper: No Nation,en,2026-04-07,2026,96,"Action, Thriller",22.8415,6.833,6,0,0,Brandon Beckett and Agent Zero lead a rescue mission in Venezuela when their friends are taken hostage.,"No flag, no backup, and no mercy.",Trevor Calverley,"Chad Michael Collins, Ryan Robbins, Tom Berenger, Manuel Rodriguez-Saenz, Josh Brener","Destination Films, Blue Ice Pictures, Blue Ice Africa","United States of America, Canada, South Africa",R,,https://image.tmdb.org/t/p/w500/wlimwHMelt9PRdgFhS5bWJWPrjr.jpg,https://www.themoviedb.org/movie/1641319
1317672,tt36331860,Love Me Love Me,Love Me Love Me,en,2026-02-12,2026,99,"Romance, Drama",22.7197,5.653,212,0,0,"After her brother's death, June moves to Milan for a fresh start, finding comfort in Will, the perfect honor student at her new international school. But when his troubled best friend James—hiding a dangerous life in clandestine MMA fights—sparks a rivalry that quickly turns into irresistible attraction, June must choose between safety and a love that upends everything she thought she wanted.",,Roger Kumble,"Pepe Barroso, Mia Jenkins, Luca Melucci, Andrea Guo, Michelangelo Vizzini","Lotus Production, Amazon MGM Studios, Leone Film Group","Italy, United States of America",,"based on novel or book, desperate, embarrassed",https://image.tmdb.org/t/p/w500/jfwHKRHRE2X4NTexdzblaioHH51.jpg,https://www.themoviedb.org/movie/1317672
986056,tt20969586,Thunderbolts*,Thunderbolts*,en,2025-04-30,2025,127,"Action, Science Fiction, Adventure",22.5227,7.293,3372,180000000,382436917,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",Everyone deserves a second shot.,Jake Schreier,"Florence Pugh, Sebastian Stan, Julia Louis-Dreyfus, Lewis Pullman, David Harbour","Marvel Studios, Kevin Feige Productions",United States of America,PG-13,"new york city, superhero, villain, based on comic, super power, mental health, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), congressman",https://image.tmdb.org/t/p/w500/hqcexYHbiTBfDIdDWxrxPtVndBX.jpg,https://www.themoviedb.org/movie/986056
1199193,tt29713815,Pose,Pose,en,2026-02-25,2026,77,Thriller,22.5138,6.429,28,0,0,"Isolated in a grand country manor, a reclusive artist spends a passionate and paranoid weekend with his ex-lover, an obsessive fan, and a potential muse. Hoping to spark a new wave of artistic brilliance over the course of a few tumultuous days, filled with chaos and revelation not all of them will make it out alive.",,Jamie Adams,"James McAvoy, Lucas Bravo, Leila Farzad, Almudena Amor, Aisling Franciosi","Good Pals, SSS Film Capital, SSS Entertainment, The Syndicate, American Picture House Corporation","United States of America, United Kingdom",,,https://image.tmdb.org/t/p/w500/qhyyyWrHUbl6QG4udAJj17CBa5.jpg,https://www.themoviedb.org/movie/1199193
429617,tt6320628,Spider-Man: Far From Home,Spider-Man: Far From Home,en,2019-06-28,2019,129,"Action, Adventure, Science Fiction",22.4869,7.396,16809,160000000,1132723226,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",It's time to step up.,Jon Watts,"Tom Holland, Jake Gyllenhaal, Samuel L. Jackson, Marisa Tomei, Jon Favreau","Marvel Studios, Pascal Pictures, Columbia Pictures",United States of America,PG-13,"venice, italy, secret identity, superhero, school trip, europe, based on comic, sequel, destruction, aftercreditsstinger, duringcreditsstinger",https://image.tmdb.org/t/p/w500/4q2NNj4S5dG2RLF9CpXsej7yXl.jpg,https://www.themoviedb.org/movie/429617
1156594,tt33311244,Our Fault,Culpa nuestra,es,2025-10-15,2025,110,"Romance, Drama",22.4813,7.4,635,0,0,"Jenna and Lion's wedding brings about the long-awaited reunion between Noah and Nick after their breakup. Nick's inability to forgive Noah stands as an insurmountable barrier. He, heir to his grandfather's businesses, and she, starting her professional life, resist fueling a flame that's still alive. But now that their paths have crossed again, will love be stronger than resentment?",,Domingo González,"Nicole Wallace, Gabriel Guevara, Gabriela Andrada, Marta Hazas, Goya Toledo","Pokeepsie Films, Amazon MGM Studios","Spain, United States of America",,"based on novel or book, sequel",https://image.tmdb.org/t/p/w500/yzqHt4m1SeY9FbPrfZ0C2Hi9x1s.jpg,https://www.themoviedb.org/movie/1156594
696393,tt8879928,Cold Storage,Cold Storage,en,2026-01-22,2026,99,"Horror, Science Fiction, Comedy",22.4666,6.704,302,10000000,3540268,"When a mutating, highly contagious fungus escapes a sealed facility, two employees – joined by a grizzled bioterror operative – must survive the wildest night shift ever to save humanity from extinction.","If it spreads, you're dead.",Jonny Campbell,"Joe Keery, Georgina Campbell, Liam Neeson, Lesley Manville, Sosie Bacon","Pariah, StudioCanal UK, StudioCanal","United Kingdom, United States of America",R,"australia, based on novel or book, mutation, vomit, deer, outbreak, survival, nuclear bomb, epidemic, fungus",https://image.tmdb.org/t/p/w500/pfqkETJ2A3zXZJuNcufZbAJNnKA.jpg,https://www.themoviedb.org/movie/696393
936075,tt11378946,Michael,Michael,en,2026-04-22,2026,127,"Music, Drama, History",22.4002,0.0,0,200000000,0,"Discover the story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music, tracing his journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",Discover the making of a king.,Antoine Fuqua,"Jaafar Jackson, Colman Domingo, Nia Long, Kendrick Sampson, Miles Teller","Lionsgate, GK Films, The Michael Jackson Company","United Kingdom, United States of America",PG-13,"ambition, biography, singer, period drama, music history, rise to fame, greatest, music, dramatic, comforting",https://image.tmdb.org/t/p/w500/3Qud19bBUrrJAzy0Ilm8gRJlJXP.jpg,https://www.themoviedb.org/movie/936075
150540,tt2096673,Inside Out,Inside Out,en,2015-06-17,2015,95,"Animation, Family, Adventure, Drama, Comedy",22.3764,7.91,23311,175000000,857611174,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",Meet the little voices inside your head.,Pete Docter,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black",Pixar,United States of America,PG,"dreams, san francisco, california, minnesota, sadness, cartoon, disgust, ice hockey, imaginary friend, elementary school, family relationships",https://image.tmdb.org/t/p/w500/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,https://www.themoviedb.org/movie/150540
1462146,tt37605896,S4: The Bob Lazar Story,S4: The Bob Lazar Story,en,2026-04-03,2026,154,Documentary,22.2882,8.438,8,0,0,"Over 35 years after Bob Lazar's revelations, this documentary exposes secrets of a facility the government still denies. Featuring Lazar's testimony, recreations, and new evidence, it reopens a case that continues to spark global curiosity",,Luigi Vendittelli,"Bob Lazar, George Knapp, Gene Huff",,Canada,,area 51,https://image.tmdb.org/t/p/w500/9ipDFr3eSAIqTLDYdKwuFAsOxc9.jpg,https://www.themoviedb.org/movie/1462146
